output\result\result-TUW-198401-xstream.xml;"Thomas Neubauer
";"Thomas Neubauer
";1,00;1,00;1,00
output\result\result-TUW-198405-xstream.xml;"Thomas Neubauer
Johannes Heurix
";"Thomas Neubauer
Johannes Heurix
";1,00;1,00;1,00
output\result\result-TUW-198408-xstream.xml;"Thomas Neubauer
Christian Stummer
";"Thomas Neubauer
Christian Stummer
";1,00;1,00;1,00
output\result\result-TUW-200745-xstream.xml;"Christian Gruber
";"Diplom-Ingenieur
Christian Gruber
";,50;1,00;,67
output\result\result-TUW-200748-xstream.xml;"Thomas Seidl
";"Diplom-Ingenieur
Thomas Seidl
Thomas Seidl
";,33;1,00;,50
output\result\result-TUW-200948-xstream.xml;"Gregory Gutin
Eun Jung Kim
Stefan Szeider
Anders Yeo
";"Gregory Gutin
Eun Jung Kim
Stefan Szeider
Anders Yeo
";1,00;1,00;1,00
output\result\result-TUW-200950-xstream.xml;"Michael Fellows
Fedor V Fomin
Daniel Lokshtanov
Frances Rosamond
Saket Saurabh
Stefan Szeider
Carsten Thomassen
";"Michael Fellows
Fedor V Fomin
Daniel Lokshtanov
Frances Rosamond
Saket Saurabh
Stefan Szeider
Carsten Thomassen
";1,00;1,00;1,00
output\result\result-TUW-200959-xstream.xml;"Stephan Kreutzer
Sebastian Ordyniak
";"Stephan Kreutzer
Sebastian Ordyniak
";1,00;1,00;1,00
output\result\result-TUW-201066-xstream.xml;"Martin Berlakovich
Mario Ruthmair
Günther R Raidl
";"Martin Berlakovich
Mario Ruthmair
Günther R Raidl


";,60;1,00;,75
output\result\result-TUW-201160-xstream.xml;"Markus Leitner
Günther R Raidl
";"Markus Leitner
Günther R Raidl


";,50;1,00;,67
output\result\result-TUW-201167-xstream.xml;"Mario Ruthmair
Andreas Hubmer
Günther R Raidl
";"Mario Ruthmair
Andreas Hubmer
Günther R Raidl
";1,00;1,00;1,00
output\result\result-TUW-201821-xstream.xml;"Antonius Weinzierl
";"Antonius Weinzierl
";1,00;1,00;1,00
output\result\result-TUW-202034-xstream.xml;"Rainer Schuster
";"Diplom-Ingenieur
Rainer Schuster
Rainer Schuster
Rainer Schuster
";,25;1,00;,40
output\result\result-TUW-202824-xstream.xml;"Amirreza Tahamtan
Rainer Kern
Min Tjoa
";"Amirreza Tahamtan
Rainer Kern
Min Tjoa
";1,00;1,00;1,00
output\result\result-TUW-203409-xstream.xml;"Viktor Pavlu
Andreas Krall
";"Viktor Pavlu
Andreas Krall
";1,00;1,00;1,00
output\result\result-TUW-203924-xstream.xml;"Matthias Samwald
Holger Stenzhorn
Michel Dumontier
M Scott Marshall
Joanne Luciano
Klaus-Peter Adlassnig
";"Matthias Samwald
Holger Stenzhorn
Michel Dumontier
M Scott Marshall
Joanne Luciano
Klaus-Peter Adlassnig
";1,00;1,00;1,00
output\result\result-TUW-204724-xstream.xml;"Justyna Patalas-Maliszewska
";"Justyna Patalas-Maliszewska
";1,00;1,00;1,00
output\result\result-TUW-205557-xstream.xml;"Jens Knoop
Laura Kovács
Jakob Zwirchmayr
";"Jens Knoop
Laura Kovács
Jakob Zwirchmayr
";1,00;1,00;1,00
output\result\result-TUW-205933-xstream.xml;"Wolfgang Hofkirchner
";"Wolfgang Hofkirchner
";1,00;1,00;1,00
output\result\result-TUW-213513-xstream.xml;"Magdalena Widl
";"Magdalena Widl
";1,00;1,00;1,00
output\result\result-TUW-216744-xstream.xml;"M Samwald
M Kritz
M Gschwandtner
V Stefanov
A Hanbury
";"M Samwald
Hanbury A 
";,50;,20;,29
output\result\result-TUW-217690-xstream.xml;"Georg Gerstweiler
Hannes Kaufmann
Olga Kosyreva
Christian Schönauer
Emanuel Vonach
";"Georg Gerstweiler
Hannes Kaufmann
Olga Kosyreva
Christian Schönauer
Emanuel Vonach
";1,00;1,00;1,00
output\result\result-TUW-217971-xstream.xml;"Tim Lammarsch
";"Tim Lammarsch
";1,00;1,00;1,00
output\result\result-TUW-221215-xstream.xml;"Claus-Dieter Volko
Claus-Dieter Volko
";"Diplom-Ingenieur
Claus-Dieter Volko
Claus-Dieter Volko
";,67;1,00;,80
output\result\result-TUW-223906-xstream.xml;"Matthias Zeppelzauer
Maia Zaharieva
Manfred Del Fabro
";"Matthias Zeppelzauer
Maia Zaharieva
Manfred Del Fabro


";,60;1,00;,75
output\result\result-TUW-223973-xstream.xml;"Reinhardt Wenzina
Katharina Kaiser
";"Reinhardt Wenzina
Katharina Kaiser
";1,00;1,00;1,00
output\result\result-TUW-225252-xstream.xml;"Benjamin Biesinger
Christian Schauer
Bin Hu
Günther R Raidl
";"Benjamin Biesinger
Christian Schauer
Bin Hu
Günther R Raidl


";,67;1,00;,80
output\result\result-TUW-226000-xstream.xml;"Christopher Mayer
Martin Morandell
Andreas Kuntner
Hilda Tellioglu
";"Christopher Mayer
Martin Morandell
Andreas Kuntner
Hilda Tellioglu
";1,00;1,00;1,00
output\result\result-TUW-226016-xstream.xml;"Ioana Jucu
";"Ioana Jucu
Priv.-Doz 
Laura Kovács
Ioana Jucu Martir
Herman Sporer
Timisoara
Romania Timis
";,14;1,00;,25
output\result\result-TUW-228620-xstream.xml;"Sven Wohlgemuth
Stefan Sackmann
Noboru Sonehara
A Min Tjoa
";"Sven Wohlgemuth
Stefan Sackmann
Noboru Sonehara
Min Tjoa



";,43;,75;,55
output\result\result-TUW-231707-xstream.xml;"Werner Purgathofer
";"Werner Purgathofer
";1,00;1,00;1,00
