path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-182899;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-182899.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182899-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-182899-xstream.xml");ZEITSCHRIFTENARTIKEL;,00;100,00;NA;0;66,67;66,67;66,67;80,00;33,33;NA;NA;NA;NA;NA;NA;NA;95,65;95,65;,00;97,30;65,94;60,85;58,49
TUW-185321;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-185321.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185321-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-185321-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;40,00;NA;NA;100,00;40,00;NA;NA;NA;NA;NA;NA;NA;88,89;88,89;,00;100,00;58,52;66,67;61,98
TUW-185441;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-185441.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185441-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-185441-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;46,15;,00;33,33;100,00;66,67;63,10;64,39
TUW-186227;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-186227.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-186227-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-186227-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;40,00;,00;50,00;100,00;65,87;65,28;65,56
TUW-189842;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-189842.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-189842-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-189842-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;0;19,35;0;0;18,18;,00;NA;NA;NA;NA;NA;NA;NA;75,00;75,00;100,00;88,89;64,81;48,44;48,04
TUW-191715;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191715.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191715-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-191715-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;72,73;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;97,67;97,67;35,71;98,51;89,03;91,57;90,23
TUW-191977;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191977.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191977-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-191977-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;100,00;100,00;100,00;100,00;100,00;100,00;100,00
TUW-192724;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-192724.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-192724-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-192724-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;100,00;100,00;66,67;66,67;100,00;75,00;NA;NA;NA;NA;NA;NA;NA;92,31;92,31;57,14;100,00;90,12;88,89;87,51
TUW-194085;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194085.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194085-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-194085-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;,00;0;NA;40,00;NA;NA;100,00;40,00;NA;NA;NA;NA;NA;0;NA;75,19;75,38;,00;97,14;42,95;51,11;38,88
TUW-194561;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194561.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194561-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-194561-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;100,00;85,71;85,71;72,73;100,00;91,67;98,00;94,42
