"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-139785-ref18";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref19";"notMatched";"notMatched";"notMatched";"60,00";"42,86";"42,86";"23,81";"28,57";"22,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref20";"notMatched";"notMatched";"notMatched";"61,90";"64,29";"62,86";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref21";"notMatched";"notMatched";"notMatched";"100,00";"70,00";"70,00";"25,00";"20,00";"15,38";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref22";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref23";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref24";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref25";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref26";"notMatched";"notMatched";"notMatched";"92,86";"74,07";"73,02";"33,33";"22,22";"20,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref27";"100,00";"66,67";"66,67";"66,67";"66,67";"50,00";"66,67";"66,67";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref28";"66,67";"50,00";"50,00";"100,00";"75,00";"75,00";"44,44";"33,33";"29,63";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref29";"notMatched";"notMatched";"notMatched";"100,00";"70,00";"70,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref30";"notMatched";"notMatched";"notMatched";"76,19";"60,00";"55,00";"14,29";"10,00";"8,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref31";"100,00";"87,50";"87,50";"100,00";"100,00";"100,00";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref32";"95,24";"83,33";"83,33";"93,75";"95,83";"94,64";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref33";"notMatched";"notMatched";"notMatched";"33,33";"21,43";"20,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref34";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref35";"notMatched";"notMatched";"notMatched";"66,67";"50,00";"50,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref36";"notMatched";"notMatched";"notMatched";"66,67";"66,67";"50,00";"66,67";"66,67";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref37";"notMatched";"notMatched";"notMatched";"85,71";"60,00";"60,00";"14,29";"10,00";"8,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref38";"notMatched";"notMatched";"notMatched";"66,67";"40,00";"40,00";"66,67";"40,00";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref39";"notMatched";"notMatched";"notMatched";"91,67";"93,75";"92,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref40";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref41";"66,67";"57,14";"57,14";"71,43";"71,43";"71,43";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref42";"66,67";"33,33";"33,33";"75,00";"50,00";"50,00";"50,00";"33,33";"25,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref43";"56,25";"29,17";"28,57";"100,00";"87,50";"87,50";"37,50";"16,67";"15,56";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref44";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref45";"48,00";"30,00";"23,38";"92,86";"65,00";"65,00";"28,57";"20,00";"16,67";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref1";"66,67";"57,14";"50,00";"100,00";"85,71";"85,71";"40,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-140047-ref2";"66,67";"57,14";"50,00";"100,00";"85,71";"85,71";"40,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-140047-ref3";"0,00";"0,00";"0,00";"100,00";"100,00";"100,00";"33,33";"25,00";"16,67";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref4";"100,00";"50,00";"50,00";"66,67";"50,00";"40,00";"66,67";"50,00";"40,00";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref5";"notMatched";"notMatched";"notMatched";"80,00";"57,14";"57,14";"33,33";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-140048-ref1";"0,00";"0,00";"0,00";"33,33";"20,00";"14,29";"50,00";"40,00";"28,57";"NAN";"0,00";"0,00"
"TUW-140048-ref2";"83,33";"45,00";"46,67";"100,00";"80,00";"80,00";"57,14";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref3";"60,00";"37,50";"37,50";"80,00";"50,00";"50,00";"33,33";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-140048-ref4";"100,00";"60,00";"60,00";"100,00";"70,00";"70,00";"57,14";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref5";"100,00";"60,00";"60,00";"66,67";"40,00";"40,00";"66,67";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref6";"0,00";"0,00";"0,00";"33,33";"20,00";"16,67";"33,33";"20,00";"16,67";"NAN";"0,00";"0,00"
"TUW-140048-ref7";"0,00";"0,00";"0,00";"25,00";"20,00";"12,50";"33,33";"20,00";"14,29";"NAN";"0,00";"0,00"
"TUW-140048-ref8";"0,00";"0,00";"0,00";"50,00";"16,67";"14,29";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-140048-ref9";"0,00";"0,00";"0,00";"33,33";"20,00";"14,29";"66,67";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-140048-ref10";"notMatched";"notMatched";"notMatched";"33,33";"20,00";"14,29";"20,00";"20,00";"12,50";"NAN";"0,00";"0,00"
"TUW-140048-ref11";"notMatched";"notMatched";"notMatched";"33,33";"16,67";"14,29";"25,00";"16,67";"12,50";"NAN";"0,00";"0,00"
